ItemNum,Procedure,topleft,topmid,topright,botleft,botmid,botright,CRESP,TrialType,TargetLocation
1,showpractice,p,b,o,c,s,a,b,Practice,topmid
2,showlastpractice,a,z,b,d,c,o,a,Practice,topleft
3,showtrial,p,q,h,g,f,d,g,Real,botleft
4,showtrial,y,w,x,u,v,m,w,Real,topmid
5,showtrial,h,l,x,j,b,k,k,Real,botright
6,showtrial,m,h,n,u,o,r,n,Real,topright
7,showtrial,c,o,d,n,a,p,o,Real,topmid
8,showtrial,v,y,u,w,z,x,v,Real,topleft
9,showtrial,q,d,p,b,g,o,p,Real,topright
10,showtrial,n,m,w,h,u,l,m,Real,topmid
11,showtrial,z,d,c,o,a,b,a,Real,botmid
12,showtrial,l,f,t,i,s,u,t,Real,topright
13,showtrial,v,k,y,x,w,z,x,Real,botleft
14,showtrial,f,o,e,d,a,c,e,Real,topright
15,showtrial,l,i,j,h,t,f,i,Real,topmid
16,showtrial,d,b,q,c,p,e,d,Real,topleft
17,showtrial,x,s,v,y,z,a,z,Real,botmid
18,showtrial,i,u,n,b,h,g,h,Real,botmid
19,showtrial,s,f,t,r,l,q,r,Real,botleft
20,showtrial,h,t,l,f,g,i,f,Real,botleft
21,showtrial,l,i,f,t,k,j,j,Real,botright
22,showtrial,b,q,d,c,p,a,b,Real,topleft
23,showtrial,t,v,y,h,n,u,u,Real,botright
24,showtrial,c,b,o,a,d,e,c,Real,topleft
25,showtrial,j,i,m,k,t,l,l,Real,botright
26,showtrial,r,c,o,e,s,t,s,Real,botmid
27,showtrial,z,v,y,x,j,u,y,Real,topright
28,showtrial,g,q,p,d,r,b,q,Real,topmid
