ItemNum,Procedure,Item,CRESP,TrialType,WordType,Frequency,Regularity,Imageability,PartofSpeech,Lexicality
1,showtrial,put,yes,Practice,practice,N/A,N/A,N/A,N/A,Real
2,showtrial,lomb,no,Practice,practice,N/A,N/A,N/A,N/A,Real
3,showlastpractice,trait,yes,Practice,practice,N/A,N/A,N/A,N/A,Real
4,showtrial,risk,yes,Real,HF_LI_Reg,high,regular,low,Noun,Real
5,showtrial,jit,no,Real,PW_Regular,N/A,N/A,N/A,N/A,Pseudo
6,showtrial,bame,no,Real,PW_Regular,N/A,N/A,N/A,N/A,Pseudo
7,showtrial,ton,yes,Real,LF_LI_Irr,low,irregular,low,Noun,Real
8,showtrial,black,yes,Real,HF_HI_Reg,high,regular,high,Noun,Real
9,showtrial,drell,no,Real,PW_Regular,N/A,N/A,N/A,N/A,Pseudo
10,showtrial,bimb,no,Real,PW_Exception,N/A,N/A,N/A,N/A,Pseudo
11,showtrial,swear,yes,Real,HF_LI_Irr,high,irregular,low,Verb,Real
12,showtrial,twirt,no,Real,PW_Regular,N/A,N/A,N/A,N/A,Pseudo
13,showtrial,yak,yes,Real,LF_LI_Reg,low,regular,low,Noun,Real
14,showtrial,hauge,no,Real,PW_Exception,N/A,N/A,N/A,N/A,Pseudo
15,showtrial,weam,no,Real,PW_Regular,N/A,N/A,N/A,N/A,Pseudo
16,showtrial,sword,yes,Real,HF_HI_Irr,high,irregular,high,Noun,Real
17,showtrial,vait,no,Real,PW_Regular,N/A,N/A,N/A,N/A,Pseudo
18,showtrial,wish,yes,Real,HF_LI_Reg,high,regular,low,Verb,Real
19,showtrial,claw,yes,Real,LF_HI_Reg,low,regular,high,Noun,Real
20,showtrial,tolf,no,Real,PW_Exception,N/A,N/A,N/A,N/A,Pseudo
21,showtrial,realm,yes,Real,LF_LI_Irr,low,irregular,low,Noun,Real
22,showtrial,deach,no,Real,PW_Regular,N/A,N/A,N/A,N/A,Pseudo
23,showtrial,fept,no,Real,PW_Regular,N/A,N/A,N/A,N/A,Pseudo
24,showtrial,crow,yes,Real,LF_HI_Irr,low,irregular,high,Noun,Real
25,showtrial,jic,no,Real,PW_Exception,N/A,N/A,N/A,N/A,Pseudo
26,showtrial,deaf,yes,Real,HF_LI_Irr,high,irregular,low,Adjective,Real
27,showtrial,prote,no,Real,PW_Regular,N/A,N/A,N/A,N/A,Pseudo
28,showtrial,late,yes,Real,HF_LI_Reg,high,regular,low,Adjective,Real
29,showtrial,freme,no,Real,PW_Regular,N/A,N/A,N/A,N/A,Pseudo
30,showtrial,wool,yes,Real,LF_HI_Irr,low,irregular,high,Noun,Real
31,showtrial,choose,yes,Real,HF_LI_Irr,high,irregular,low,Verb,Real
32,showtrial,dut,no,Real,PW_Exception,N/A,N/A,N/A,N/A,Pseudo
33,showtrial,gress,no,Real,PW_Regular,N/A,N/A,N/A,N/A,Pseudo
34,showtrial,tame,yes,Real,LF_LI_Reg,low,regular,low,Verb,Real
35,showtrial,bush,yes,Real,HF_HI_Irr,high,irregular,high,Noun,Real
36,showtrial,zon,no,Real,PW_Exception,N/A,N/A,N/A,N/A,Pseudo
37,showtrial,selp,no,Real,PW_Regular,N/A,N/A,N/A,N/A,Pseudo
38,showtrial,wing,yes,Real,HF_HI_Reg,high,regular,high,Noun,Real
39,showtrial,rish,no,Real,PW_Regular,N/A,N/A,N/A,N/A,Pseudo
40,showtrial,hoop,yes,Real,LF_HI_Reg,low,regular,high,Noun,Real
41,showtrial,soul,yes,Real,HF_LI_Irr,high,irregular,low,Noun,Real
42,showtrial,ning,no,Real,PW_Regular,N/A,N/A,N/A,N/A,Pseudo
43,showtrial,gauge,yes,Real,LF_LI_Irr,low,irregular,low,Noun,Real
44,showtrial,loat,no,Real,PW_Regular,N/A,N/A,N/A,N/A,Pseudo
45,showtrial,theme,yes,Real,HF_LI_Reg,high,regular,low,Noun,Real
46,showtrial,chef,yes,Real,HF_HI_Irr,high,irregular,high,Noun,Real
47,showtrial,phron,no,Real,PW_Exception,N/A,N/A,N/A,N/A,Pseudo
48,showtrial,heart,yes,Real,HF_HI_Irr,high,irregular,high,Noun,Real
49,showtrial,yitch,no,Real,PW_Regular,N/A,N/A,N/A,N/A,Pseudo
50,showtrial,rough,yes,Real,HF_LI_Irr,high,irregular,low,Adjective,Real
51,showtrial,sheer,yes,Real,LF_LI_Reg,low,regular,low,Noun,Real
52,showtrial,prour,no,Real,PW_Exception,N/A,N/A,N/A,N/A,Pseudo
53,showtrial,sase,no,Real,PW_Exception,N/A,N/A,N/A,N/A,Pseudo
54,showtrial,wink,yes,Real,LF_HI_Reg,low,regular,high,Noun,Real
55,showtrial,shell,yes,Real,HF_HI_Reg,high,regular,high,Noun,Real
56,showtrial,ploof,no,Real,PW_Exception,N/A,N/A,N/A,N/A,Pseudo
57,showtrial,slack,yes,Real,LF_LI_Reg,low,regular,low,Noun,Real
58,showtrial,wost,no,Real,PW_Exception,N/A,N/A,N/A,N/A,Pseudo
59,showtrial,fiend,yes,Real,LF_LI_Irr,low,irregular,low,Noun,Real
60,showtrial,shike,no,Real,PW_Regular,N/A,N/A,N/A,N/A,Pseudo
61,showtrial,fraud,yes,Real,HF_LI_Reg,high,regular,low,Noun,Real
62,showtrial,chic,yes,Real,LF_LI_Irr,low,irregular,low,Adjective,Real
63,showtrial,derve,no,Real,PW_Regular,N/A,N/A,N/A,N/A,Pseudo
64,showtrial,yint,no,Real,PW_Exception,N/A,N/A,N/A,N/A,Pseudo
65,showtrial,belt,yes,Real,HF_HI_Reg,high,regular,high,Noun,Real
66,showtrial,keaf,no,Real,PW_Exception,N/A,N/A,N/A,N/A,Pseudo
67,showtrial,grape,yes,Real,LF_HI_Reg,low,regular,high,Noun,Real
68,showtrial,dack,no,Real,PW_Regular,N/A,N/A,N/A,N/A,Pseudo
69,showtrial,meard,no,Real,PW_Exception,N/A,N/A,N/A,N/A,Pseudo
70,showtrial,wolf,yes,Real,HF_HI_Irr,high,irregular,high,Noun,Real
71,showtrial,bieve,no,Real,PW_Exception,N/A,N/A,N/A,N/A,Pseudo
72,showtrial,seart,no,Real,PW_Exception,N/A,N/A,N/A,N/A,Pseudo
73,showtrial,choir,yes,Real,LF_HI_Irr,low,irregular,high,Noun,Real
74,showtrial,doad,no,Real,PW_Exception,N/A,N/A,N/A,N/A,Pseudo
75,showtrial,reap,yes,Real,LF_LI_Reg,low,regular,low,Verb,Real
76,showtrial,chool,no,Real,PW_Exception,N/A,N/A,N/A,N/A,Pseudo
77,showtrial,yacht,yes,Real,LF_HI_Irr,low,irregular,high,Noun,Real
78,showtrial,rarce,no,Real,PW_Exception,N/A,N/A,N/A,N/A,Pseudo
79,showtrial,witch,yes,Real,HF_HI_Reg,high,regular,high,Noun,Real
80,showtrial,voot,no,Real,PW_Exception,N/A,N/A,N/A,N/A,Pseudo
81,showtrial,plaid,yes,Real,LF_HI_Irr,low,irregular,high,Noun,Real
82,showtrial,wust,no,Real,PW_Regular,N/A,N/A,N/A,N/A,Pseudo
83,showtrial,pawn,yes,Real,LF_HI_Reg,low,regular,high,Noun,Real
