ItemNum,Procedure,TrialType,RelationType,Sound1,Sound2,CRESP
1,showtrial,Practice,themes,hair,fur,yes
2,showlastpractice,Practice,unrelated,lock,frog,no
3,showtrial,Real,unrelated,canoe,jester,no
4,showtrial,Real,tax,otter,rat,yes
5,showtrial,Real,theme,armor,blade,yes
6,showtrial,Real,unrelated,cheese,kayak,no
7,showtrial,Real,unrelated,bull,note,no
8,showtrial,Real,tax,crown,helmet,yes
9,showtrial,Real,unrelated,page,vulture,no
10,showtrial,Real,theme,forest,trail,yes
11,showtrial,Real,unrelated,cup,weapon,no
12,showtrial,Real,tax,bishop,rabbi,yes
13,showtrial,Real,unrelated,fan,thorn,no
14,showtrial,Real,tax,beaver,seal,yes
15,showtrial,Real,unrelated,dune,queen,no
16,showtrial,Real,theme,sand,seaweed,yes
17,showtrial,Real,unrelated,cord,shampoo,no
18,showtrial,Real,theme,marsh,reed,yes
19,showtrial,Real,unrelated,glove,pretzel,no
20,showtrial,Real,tax,jug,urn,yes
21,showtrial,Real,unrelated,block,pilot,no
22,showtrial,Real,unrelated,earring,gravy,no
23,showtrial,Real,theme,candle,match,yes
24,showtrial,Real,tax,floss,yarn,yes
25,showtrial,Real,unrelated,rubber,turtle,no
26,showtrial,Real,tax,Easter,Thanksgiving,yes
27,showtrial,Real,unrelated,chip,mountain,no
28,showtrial,Real,theme,bed,pillow,yes
29,showtrial,Real,theme,envelope,letter,yes
30,showtrial,Real,unrelated,tail,tire,no
31,showtrial,Real,theme,book,paper,yes
32,showtrial,Real,unrelated,glass,lion,no
33,showtrial,Real,tax,breakfast,dinner,yes
34,showtrial,Real,theme,moon,wolf,yes
35,showtrial,Real,unrelated,gun,spinach,no
36,showtrial,Real,tax,cow,lamb,yes
37,showtrial,Real,tax,lunch,snack,yes
38,showtrial,Real,unrelated,case,web,no
39,showtrial,Real,theme,butter,corn,yes
40,showtrial,Real,unrelated,hat,plug,no
41,showtrial,Real,tax,boat,train,yes
42,showtrial,Real,unrelated,island,shoe,no
43,showtrial,Real,theme,sugar,tea,yes
44,showtrial,Real,tax,grizzly,panda,yes
45,showtrial,Real,unrelated,balloon,mustard,no
46,showtrial,Real,theme,blacksmith,forge,yes
47,showtrial,Real,unrelated,bulb,dog,no
48,showtrial,Real,unrelated,arrow,tooth,no
49,showtrial,Real,tax,lake,sea,yes
50,showtrial,Real,unrelated,napkin,sword,no
51,showtrial,Real,tax,bean,peanut,yes
52,showtrial,Real,unrelated,grill,pyramid,no
53,showtrial,Real,theme,cloud,drizzle,yes
54,showtrial,Real,unrelated,bread,chain,no
55,showtrial,Real,tax,car,tractor,yes
56,showtrial,Real,unrelated,base,moth,no
57,showtrial,Real,theme,map,route,yes
58,showtrial,Real,unrelated,bridge,cougar,no
59,showtrial,Real,unrelated,pendant,toilet,no
60,showtrial,Real,tax,fireman,teacher,yes
61,showtrial,Real,unrelated,computer,radish,no
62,showtrial,Real,theme,cloak,friar,yes
63,showtrial,Real,unrelated,folder,thunder,no
64,showtrial,Real,theme,hook,rod,yes
65,showtrial,Real,unrelated,cane,lightning,no
66,showtrial,Real,unrelated,lobster,purse,no
