ItemNum,Item,Procedure,TrialType,BlockNumber,Imageability,Frequency,Regularity,WordType,PrecedingWordType,PartofSpeech
1,cat,showtrial,Practice,1,N/A,N/A,N/A,N/A,N/A,N/A
2,book,showtrial,Practice,1,N/A,N/A,N/A,N/A,N/A,N/A
3,whale,showlastpractice,Practice,1,N/A,N/A,N/A,N/A,N/A,N/A
4,wool,showtrial,Real,5,high,low,irregular,HI_LF_Irr,HI_LF_Irr,Noun
5,past,showtrial,Real,5,low,high,regular,LI_HF_Reg,HI_LF_Irr,Noun
6,fraud,showtrial,Real,5,low,high,regular,LI_HF_Reg,LI_HF_Reg,Noun
7,bush,showtrial,Real,5,high,high,irregular,HI_HF_Irr,LI_HF_Reg,Noun
8,ache,showtrial,Real,5,low,low,irregular,LI_LF_Irr,HI_HF_Irr,Noun
9,phrase,showtrial,Real,5,low,low,irregular,LI_LF_Irr,LI_LF_Irr,Noun
10,push,showtrial,Real,5,high,high,irregular,HI_HF_Irr,LI_LF_Irr,Verb
11,arch,showtrial,Real,5,high,low,regular,HI_LF_Reg,HI_HF_Irr,Noun
12,put,showtrial,Real,5,low,high,irregular,LI_HF_Irr,HI_LF_Reg,Verb
13,soil,showtrial,Real,5,high,low,regular,HI_LF_Reg,LI_HF_Irr,Noun
14,touch,showtrial,Real,5,high,high,irregular,HI_HF_Irr,HI_LF_Reg,Verb
15,death,showtrial,Real,5,high,high,irregular,HI_HF_Irr,HI_HF_Irr,Noun
16,yak,showtrial,Real,5,low,low,regular,LI_LF_Reg,HI_HF_Irr,Noun
17,grief,showtrial,Real,5,low,high,regular,LI_HF_Reg,LI_LF_Reg,Noun
18,stow,showtrial,Real,5,low,low,irregular,LI_LF_Irr,LI_HF_Reg,Verb
19,trust,showtrial,Real,5,low,high,regular,LI_HF_Reg,LI_LF_Irr,Verb
20,deaf,showtrial,Real,5,low,high,irregular,LI_HF_Irr,LI_HF_Reg,Adjective
21,craze,showtrial,Real,5,low,low,regular,LI_LF_Reg,LI_HF_Irr,Noun
22,flask,showtrial,Real,5,high,low,regular,HI_LF_Reg,LI_LF_Reg,Noun
23,send,showtrial,Real,5,low,high,regular,LI_HF_Reg,HI_LF_Reg,Verb
24,bike,showtrial,Real,5,high,high,regular,HI_HF_Reg,LI_HF_Reg,Noun
25,spout,showtrial,Real,5,high,low,regular,HI_LF_Reg,HI_HF_Reg,Verb
26,wedge,showtrial,Real,5,high,low,regular,HI_LF_Reg,HI_LF_Reg,Noun
27,cache,showtrial,Real,5,low,low,irregular,LI_LF_Irr,HI_LF_Reg,Noun
28,swear,showtrial,Real,5,low,high,irregular,LI_HF_Irr,LI_LF_Irr,Verb
29,BREAK,showasbreak,break,5,N/A,N/A,N/A,N/A,N/A,N/A
30,hour,showtrial,Real,6,low,high,irregular,LI_HF_Irr,LI_HF_Irr,Noun
31,threat,showtrial,Real,6,low,high,irregular,LI_HF_Irr,LI_HF_Irr,Noun
32,wounds,showtrial,Real,6,high,high,irregular,HI_HF_Irr,LI_HF_Irr,Noun
33,chef,showtrial,Real,6,high,high,irregular,HI_HF_Irr,HI_HF_Irr,Noun
34,belt,showtrial,Real,6,high,high,regular,HI_HF_Reg,HI_HF_Irr,Noun
35,page,showtrial,Real,6,high,high,regular,HI_HF_Reg,HI_HF_Reg,Noun
36,sane,showtrial,Real,6,low,low,regular,LI_LF_Reg,HI_HF_Reg,Adjective
37,drank,showtrial,Real,6,high,high,regular,HI_HF_Reg,LI_LF_Reg,Verb
38,trough,showtrial,Real,6,high,low,irregular,HI_LF_Irr,HI_HF_Reg,Noun
