ItemNum,Weight,Nested,Procedure,video,forwardbutton,TrialWasAdministered,TrialType,Repetitions,LengthNumber
P1,1,,showtrial,17,forwardbutton,0,Practice,0,1
P2,1,,showtrial,63,forwardbutton,0,Practice,0,1
P3,1,,showlastpractice,582,forwardbutton,0,Practice,0,1
1,1,,showtrial,24,forwardbutton,0,Real,0,1
2,1,,showtrial,57,forwardbutton,0,Real,0,2
3,1,,showtrial,629,forwardbutton,0,Real,0,1
4,1,,showtrial,415,forwardbutton,0,Real,0,2
5,1,,showtrial,3279,forwardbutton,0,Real,0,1
6,1,,showtrial,4968,forwardbutton,0,Real,0,2
7,1,,showtrial,15286,forwardbutton,0,Real,0,1
8,1,,showtrial,61843,forwardbutton,0,Real,0,2
9,1,,showtrial,539418,forwardbutton,0,Real,0,1
10,1,,showtrial,724856,forwardbutton,0,Real,0,2
11,1,,showtrial,8129365,forwardbutton,0,Real,0,1
12,1,,showtrial,4739128,forwardbutton,0,Real,0,2
13,1,,showtrial,94376258,forwardbutton,0,Real,0,1
14,1,,showtrial,72819653,forwardbutton,0,Real,0,2
