ItemNum,Procedure,Item,TrialWasAdministered,TrialType,Repetitions,WordType,Length,Frequency,Phonemes,Syllables,PartofSpeech
P1,showtrial,thirsty,0,practice,0,affixed,7,2.798,5,2,adjective
P2,showlastpractice,hasten,0,practice,0,pseudoaffixed,6,1.58,4,2,verb
1,showtrial,sandy,0,real,0,affixed,5,3.075,5,2,adjective
2,showtrial,lethal,0,real,0,pseudoaffixed,6,2.462,5,2,adjective
3,showtrial,sailor,0,real,0,affixed,6,2.801,4,2,noun
4,showtrial,relatives,0,real,0,affixed,9,2.711,8,3,noun
5,showtrial,letter,0,real,0,pseudoaffixed,6,3.625,4,2,noun
6,showtrial,bridal,0,real,0,affixed,6,2.127,5,2,adjective
7,showtrial,study,0,real,0,pseudoaffixed,5,3.398,5,2,noun
8,showtrial,finger,0,real,0,pseudoaffixed,6,3.272,5,2,noun
9,showtrial,darken,0,real,0,affixed,6,1.322,6,2,verb
10,showtrial,shabby,0,real,0,pseudoaffixed,6,1.944,4,2,adjective
11,showtrial,molasses,0,real,0,pseudoaffixed,8,1.724,7,3,noun
12,showtrial,windy,0,real,0,affixed,5,2.13,5,2,adjective
13,showtrial,sudden,0,real,0,pseudoaffixed,6,3.232,4,2,adjective
14,showtrial,leader,0,real,0,affixed,6,3.201,4,2,noun
15,showtrial,shaggy,0,real,0,affixed,6,1.898,4,2,adjective
16,showtrial,listen,0,real,0,pseudoaffixed,6,4.444,4,2,verb
17,showtrial,singer,0,real,0,affixed,6,2.904,4,2,noun
18,showtrial,tardy,0,real,0,pseudoaffixed,5,1.771,5,2,adjective
19,showtrial,cities,0,real,0,affixed,6,2.652,5,2,noun
20,showtrial,author,0,real,0,pseudoaffixed,6,2.608,3,2,noun
21,showtrial,golden,0,real,0,affixed,6,3.075,5,2,adjective
22,showtrial,series,0,real,0,pseudoaffixed,6,3.012,5,2,noun
