ItemNum,Procedure,Item,TrialType,WordType,
P1,showtrial,pisk,Practice,practice,
P2,showtrial,perkyoutide,Practice,practice,
P3,showlastpractice,blackter,Practice,practice,
1,showtrial,nind,Real,real,
2,showtrial,daloop,Real,real,
3,showtrial,bamuma,Real,real,
4,showtrial,gamber,Real,real,
5,showtrial,prodge,Real,real,
6,showtrial,munerslo,Real,real,
7,showtrial,fundwaich,Real,real,
8,showtrial,doush,Real,real,
9,showtrial,hillenid,Real,real,
10,showtrial,wahster,Real,real,
11,showtrial,kital,Real,real,
12,showtrial,enpreela,Real,real,
13,showtrial,chev,Real,real,
14,showtrial,antheloup,Real,real,
15,showtrial,veedra,Real,real,
16,showtrial,wum,Real,real,
17,showtrial,hensher,Real,real,
18,showtrial,daneebo,Real,real,
19,showtrial,wooks,Real,real,
20,showtrial,jahlgipo,Real,real,
21,showtrial,drabe,Real,real,
22,showtrial,eelange,Real,real,
23,showtrial,pode,Real,real,
24,showtrial,lispiter,Real,real,
25,showtrial,wenel,Real,real,
26,showtrial,ahlashend,Real,real,
27,showtrial,lig,Real,real,
28,showtrial,winaper,Real,real,
29,showtrial,tylo,Real,real,
30,showtrial,preeg,Real,real,
