ItemNum,Procedure,Item,TrialWasAdministered,TrialType,BlockNumber,StartBlock,WordType
1,showtrial,dape,0,Practice,1,1,practice
2,showtrial,frode,0,Practice,1,1,practice
3,showtrial,shew,0,Practice,1,1,practice
4,showlastpractice,thid,0,Practice,1,1,practice
5,showtrial,slear,0,Real,1,1,InconsistentPW
6,showtrial,bink,0,Real,1,1,RegularPW
7,showtrial,sinse,0,Real,1,1,Pseudohomophone
8,showtrial,drost,0,Real,1,1,InconsistentPW
9,showtrial,tuff,0,Real,1,1,Pseudohomophone
10,showtrial,broal,0,Real,1,1,RegularPW
11,showtrial,preln,0,Real,1,1,NoAnalogyPW
12,showtrial,bolg,0,Real,1,1,NoAnalogyPW
13,showtrial,fron,0,Real,1,1,InconsistentPW
14,showtrial,wribe,0,Real,1,1,RegularPW
15,showtrial,bord,0,Real,1,1,Pseudohomophone
16,showtrial,hish,0,Real,1,1,RegularPW
17,showtrial,glown,0,Real,1,1,InconsistentPW
18,showtrial,plear,0,Real,1,1,InconsistentPW
19,showtrial,trase,0,Real,1,1,Pseudohomophone
20,showtrial,cout,0,Real,1,1,RegularPW
21,showtrial,hirn,0,Real,1,1,NoAnalogyPW
22,showtrial,roze,0,Real,1,1,Pseudohomophone
23,showtrial,clais,0,Real,1,1,NoAnalogyPW
24,showtrial,wrofe,0,Real,1,1,NoAnalogyPW
25,showasbreak,BREAK,0,break,1,1,N/A
26,showtrial,slind,0,Real,2,1,InconsistentPW
27,showtrial,meech,0,Real,2,1,RegularPW
28,showtrial,zoan,0,Real,2,1,Pseudohomophone
29,showtrial,vage,0,Real,2,1,RegularPW
30,showtrial,trow,0,Real,2,1,InconsistentPW
31,showtrial,froum,0,Real,2,1,NoAnalogyPW
32,showtrial,stilp,0,Real,2,1,NoAnalogyPW
33,showtrial,cland,0,Real,2,1,RegularPW
34,showtrial,nale,0,Real,2,1,Pseudohomophone
35,showtrial,zask,0,Real,2,1,RegularPW
36,showtrial,crilp,0,Real,2,1,NoAnalogyPW
37,showtrial,fone,0,Real,2,1,Pseudohomophone
38,showtrial,polb,0,Real,2,1,NoAnalogyPW
39,showtrial,gead,0,Real,2,1,InconsistentPW
40,showtrial,talch,0,Real,2,1,NoAnalogyPW
41,showtrial,gaim,0,Real,2,1,Pseudohomophone
42,showtrial,yoon,0,Real,2,1,RegularPW
43,showtrial,hoth,0,Real,2,1,InconsistentPW
44,showtrial,stail,0,Real,2,1,Pseudohomophone
45,showtrial,vo,0,Real,2,1,InconsistentPW
