ItemNum,Item,TrialType,Procedure
P1,b,Practice,showtrial
P2,o,Practice,showlastpractice
1,n,Real,showtrial
2,j,Real,showtrial
3,u,Real,showtrial
4,p,Real,showtrial
5,k,Real,showtrial
6,v,Real,showtrial
7,d,Real,showtrial
8,i,Real,showtrial
9,g,Real,showtrial
10,x,Real,showtrial
11,s,Real,showtrial
12,h,Real,showtrial
13,l,Real,showtrial
14,m,Real,showtrial
15,z,Real,showtrial
16,o,Real,showtrial
17,b,Real,showtrial
18,y,Real,showtrial
19,f,Real,showtrial
20,c,Real,showtrial
21,r,Real,showtrial
22,e,Real,showtrial
23,q,Real,showtrial
24,t,Real,showtrial
25,a,Real,showtrial
26,w,Real,showtrial
