ItemNum,Item,TrialType,Procedure
1,page,Practice,showpractice
2,crab,Practice,showpractice
3,help,Practice,showlastpractice
4,risk,Real,showtrial
5,sane,Real,showtrial
6,reap,Real,showtrial
7,heart,Real,showtrial
8,swear,Real,showtrial
9,hate,Real,showtrial
10,bowl,Real,showtrial
11,stow,Real,showtrial
12,crude,Real,showtrial
13,wolf,Real,showtrial
14,comb,Real,showtrial
15,wool,Real,showtrial
16,scab,Real,showtrial
17,trench,Real,showtrial
18,crate,Real,showtrial
19,once,Real,showtrial
20,tongue,Real,showtrial
21,lose,Real,showtrial
22,scheme,Real,showtrial
23,source,Real,showtrial
24,black,Real,showtrial
25,bless,Real,showtrial
26,chrome,Real,showtrial
27,yacht,Real,showtrial
28,twelve,Real,showtrial
29,yell,Real,showtrial
30,hoop,Real,showtrial
31,bike,Real,showtrial
32,scribe,Real,showtrial
33,realm,Real,showtrial
34,chance,Real,showtrial
35,ache,Real,showtrial
