ItemNum,Procedure,topimage,leftimage,rightimage,CRESP,TrialType,TargetLocation
1,showpractice,jeans,genes,jeans,jeans,Practice,right
2,showlastpractice,mussel,mussel,muscle,mussel,Practice,left
3,showtrial,hare,hair,hare,hare,Real,right
4,showtrial,cent,cent,sent,cent,Real,left
5,showtrial,heel,heel,heal,heel,Real,left
6,showtrial,break,brake,break,break,Real,right
7,showtrial,night,night,knight,night,Real,left
8,showtrial,steak,stake,steak,steak,Real,right
9,showtrial,mail,mail,male,mail,Real,left
10,showtrial,mourning,morning,mourning,mourning,Real,right
11,showtrial,doe,dough,doe,doe,Real,right
12,showtrial,mousse,mousse,moose,mousse,Real,left
13,showtrial,plane,plane,plain,plane,Real,left
14,showtrial,flower,flour,flower,flower,Real,right
15,showtrial,pair,pair,pear,pair,Real,left
16,showtrial,blue,blue,blew,blue,Real,left
17,showtrial,meat,meet,meat,meat,Real,right
18,showtrial,waste,waste,waist,waste,Real,left
19,showtrial,root,route,root,root,Real,right
20,showtrial,bored,bored,board,bored,Real,left
21,showtrial,tow,toe,tow,tow,Real,right
22,showtrial,whale,wail,whale,whale,Real,right
