ItemNum,Procedure,TrialType,Sound1,Sound2,RhymeMatch,OrthoMatch,CRESP
1,showtrial,Practice,fine,mine,yes,yes,yes
2,showtrial,Practice,night,quite,yes,no,yes
3,showlastpractice,Practice,food,good,no,yes,no
4,showtrial,Real,lose,pose,no,yes,no
5,showtrial,Real,map,tap,yes,yes,yes
6,showtrial,Real,front,stunt,yes,no,yes
7,showtrial,Real,bead,head,no,yes,no
8,showtrial,Real,gall,yell,no,no,no
9,showtrial,Real,host,roast,yes,no,yes
10,showtrial,Real,cash,bush,no,no,no
11,showtrial,Real,fool,tool,yes,yes,yes
12,showtrial,Real,share,care,yes,yes,yes
13,showtrial,Real,bomb,tomb,no,yes,no
14,showtrial,Real,firm,term,yes,no,yes
15,showtrial,Real,cup,nap,no,no,no
16,showtrial,Real,drove,shove,no,yes,no
17,showtrial,Real,cough,rough,no,yes,no
18,showtrial,Real,bite,kite,yes,yes,yes
19,showtrial,Real,mold,held,no,no,no
20,showtrial,Real,loose,juice,yes,no,yes
21,showtrial,Real,bath,path,yes,yes,yes
22,showtrial,Real,threat,treat,no,yes,no
23,showtrial,Real,blown,cone,yes,no,yes
24,showtrial,Real,dirt,curt,yes,no,yes
25,showtrial,Real,spent,haunt,no,no,no
26,showtrial,Real,step,pep,yes,yes,yes
27,showtrial,Real,warm,boom,no,no,no
28,showtrial,Real,dread,plaid,no,no,no
29,showtrial,Real,foot,toot,no,yes,no
30,showtrial,Real,said,shed,yes,no,yes
31,showtrial,Real,bog,log,yes,yes,yes
32,showtrial,Real,view,cue,yes,no,yes
33,showtrial,Real,duck,pack,no,no,no
34,showtrial,Real,lime,mime,yes,yes,yes
35,showtrial,Real,hood,mood,no,yes,no
36,showtrial,Real,clog,sprig,no,no,no
37,showtrial,Real,stew,glue,yes,no,yes
38,showtrial,Real,hive,give,no,yes,no
39,showtrial,Real,mute,cute,yes,yes,yes
40,showtrial,Real,trait,rate,yes,no,yes
41,showtrial,Real,full,wool,yes,no,yes
42,showtrial,Real,key,day,no,no,no
43,showtrial,Real,shrug,plug,yes,yes,yes
44,showtrial,Real,bran,thin,no,no,no
45,showtrial,Real,bowl,jowl,no,yes,no
46,showtrial,Real,ply,tie,yes,no,yes
47,showtrial,Real,lard,ward,no,yes,no
48,showtrial,Real,scorch,torch,yes,yes,yes
49,showtrial,Real,pipe,ripe,yes,yes,yes
50,showtrial,Real,desk,list,no,no,no
51,showtrial,Real,punt,tint,no,no,no
52,showtrial,Real,gum,from,yes,no,yes
53,showtrial,Real,lint,pint,no,yes,no
54,showtrial,Real,glad,mad,yes,yes,yes
55,showtrial,Real,burn,learn,yes,no,yes
56,showtrial,Real,tone,gone,no,yes,no
57,showtrial,Real,plot,goat,no,no,no
58,showtrial,Real,rise,wise,yes,yes,yes
59,showtrial,Real,newt,moot,yes,no,yes
60,showtrial,Real,clove,sieve,no,no,no
61,showtrial,Real,wart,mart,no,yes,no
62,showtrial,Real,dune,tune,yes,yes,yes
63,showtrial,Real,couch,touch,no,yes,no
64,showtrial,Real,deaf,leaf,no,yes,no
65,showtrial,Real,crush,plush,yes,yes,yes
66,showtrial,Real,guide,tried,yes,no,yes
67,showtrial,Real,heat,quit,no,no,no
