Item,Weight,Nested,Procedure,Word,forwardbutton,TrialWasAdministered,TrialType,Repetitions,WordType,Length,Frequency,Phonemes,Syllables,PartofSpeech
P1,1,,showtrial,thirsty,forwardbutton,0,practice,0,affixed,7,2.798,5,2,adjective
P2,1,,showlastpractice,hasten,forwardbutton,0,practice,0,pseudoaffixed,6,1.58,4,2,verb
,1,,showtrial,sandy,forwardbutton,0,real,0,affixed,5,3.075,5,2,adjective
,1,,showtrial,lethal,forwardbutton,0,real,0,pseudoaffixed,6,2.462,5,2,adjective
,1,,showtrial,sailor,forwardbutton,0,real,0,affixed,6,2.801,4,2,noun
,1,,showtrial,relatives,forwardbutton,0,real,0,affixed,9,2.711,8,3,noun
,1,,showtrial,letter,forwardbutton,0,real,0,pseudoaffixed,6,3.625,4,2,noun
,1,,showtrial,bridal,forwardbutton,0,real,0,affixed,6,2.127,5,2,adjective
,1,,showtrial,study,forwardbutton,0,real,0,pseudoaffixed,5,3.398,5,2,noun
,1,,showtrial,finger,forwardbutton,0,real,0,pseudoaffixed,6,3.272,5,2,noun
,1,,showtrial,darken,forwardbutton,0,real,0,affixed,6,1.322,6,2,verb
,1,,showtrial,shabby,forwardbutton,0,real,0,pseudoaffixed,6,1.944,4,2,adjective
,1,,showtrial,molasses,forwardbutton,0,real,0,pseudoaffixed,8,1.724,7,3,noun
,1,,showtrial,windy,forwardbutton,0,real,0,affixed,5,2.13,5,2,adjective
,1,,showtrial,sudden,forwardbutton,0,real,0,pseudoaffixed,6,3.232,4,2,adjective
,1,,showtrial,leader,forwardbutton,0,real,0,affixed,6,3.201,4,2,noun
,1,,showtrial,shaggy,forwardbutton,0,real,0,affixed,6,1.898,4,2,adjective
,1,,showtrial,listen,forwardbutton,0,real,0,pseudoaffixed,6,4.444,4,2,verb
,1,,showtrial,singer,forwardbutton,0,real,0,affixed,6,2.904,4,2,noun
,1,,showtrial,tardy,forwardbutton,0,real,0,pseudoaffixed,5,1.771,5,2,adjective
,1,,showtrial,cities,forwardbutton,0,real,0,affixed,6,2.652,5,2,noun
,1,,showtrial,author,forwardbutton,0,real,0,pseudoaffixed,6,2.608,3,2,noun
,1,,showtrial,golden,forwardbutton,0,real,0,affixed,6,3.075,5,2,adjective
,1,,showtrial,series,forwardbutton,0,real,0,pseudoaffixed,6,3.012,5,2,noun
