Weight,Nested,Procedure,word,forwardbutton,TrialWasAdministered,TrialType,Repetitions,BlockNumber,LetterCount,SyllableCount,PartOfSpeech
1,,showtrial,run,forwardbutton,0,practice,0,,N/A,N/A,N/A
1,,showtrial,computer,forwardbutton,0,practice,0,,N/A,N/A,N/A
1,,showlastpractice,yet,forwardbutton,0,practice,0,,N/A,N/A,N/A
1,,showtrial,sing,forwardbutton,0,real,0,,4,1,V
1,,showtrial,drought,forwardbutton,0,real,0,,7,1,N
1,,showtrial,since,forwardbutton,0,real,0,,5,1,F
1,,showtrial,bakery,forwardbutton,0,real,0,,6,3,N
1,,showtrial,door,forwardbutton,0,real,0,,4,1,N
1,,showtrial,hesitate,forwardbutton,0,real,0,,8,3,V
1,,showtrial,ivy,forwardbutton,0,real,0,,3,2,N
1,,showtrial,enter,forwardbutton,0,real,0,,5,2,V
1,,showtrial,beside,forwardbutton,0,real,0,,6,2,F
1,,showtrial,library,forwardbutton,0,real,0,,7,3,N
1,,showtrial,each,forwardbutton,0,real,0,,4,1,F
1,,showtrial,lady,forwardbutton,0,real,0,,4,2,N
1,,showtrial,grieve,forwardbutton,0,real,0,,6,1,V
1,,showtrial,beg,forwardbutton,0,real,0,,3,1,V
1,,showtrial,destroy,forwardbutton,0,real,0,,7,2,V
1,,showtrial,unify,forwardbutton,0,real,0,,5,3,V
1,,showtrial,into,forwardbutton,0,real,0,,4,2,F
1,,showtrial,strength,forwardbutton,0,real,0,,8,1,N
1,,showtrial,rely,forwardbutton,0,real,0,,4,2,V
1,,showtrial,letter,forwardbutton,0,real,0,,6,2,N
1,,showtrial,iota,forwardbutton,0,real,0,,4,3,N
1,,showtrial,between,forwardbutton,0,real,0,,7,2,F
1,,showtrial,loathe,forwardbutton,0,real,0,,6,1,V
1,,showtrial,appear,forwardbutton,0,real,0,,6,2,V
1,,showasbreak,BREAK,forwardbutton,0,break,0,,N/A,N/A,N/A
1,,showtrial,car,forwardbutton,0,real,0,,3,1,N
1,,showtrial,glimpse,forwardbutton,0,real,0,,7,1,N
1,,showtrial,learn,forwardbutton,0,real,0,,5,1,V
1,,showtrial,property,forwardbutton,0,real,0,,8,3,N
1,,showtrial,about,forwardbutton,0,real,0,,5,2,F
1,,showtrial,ask,forwardbutton,0,real,0,,3,1,V
1,,showtrial,church,forwardbutton,0,real,0,,6,1,N
1,,showtrial,discover,forwardbutton,0,real,0,,8,3,V
1,,showtrial,her,forwardbutton,0,real,0,,3,1,F
1,,showtrial,believe,forwardbutton,0,real,0,,7,2,V
1,,showtrial,expect,forwardbutton,0,real,0,,6,2,V
1,,showtrial,whose,forwardbutton,0,real,0,,5,1,F
1,,showtrial,arena,forwardbutton,0,real,0,,5,3,N
1,,showtrial,law,forwardbutton,0,real,0,,3,1,N
1,,showtrial,enemy,forwardbutton,0,real,0,,5,3,N
1,,showtrial,accident,forwardbutton,0,real,0,,8,3,N
1,,showtrial,write,forwardbutton,0,real,0,,5,1,V
1,,showtrial,body,forwardbutton,0,real,0,,4,2,N
1,,showtrial,instead,forwardbutton,0,real,0,,7,2,F
1,,showtrial,ego,forwardbutton,0,real,0,,3,2,N
1,,showtrial,testify,forwardbutton,0,real,0,,7,3,V
1,,showtrial,continue,forwardbutton,0,real,0,,8,3,V
1,,showtrial,should,forwardbutton,0,real,0,,6,1,V
1,,showtrial,our,forwardbutton,0,real,0,,3,1,F
1,,showtrial,world,forwardbutton,0,real,0,,5,1,N
1,,showasbreak,BREAK,forwardbutton,0,break,0,,N/A,N/A,N/A
1,,showtrial,across,forwardbutton,0,real,0,,6,2,F
1,,showtrial,problem,forwardbutton,0,real,0,,7,2,N
1,,showtrial,avoid,forwardbutton,0,real,0,,5,2,V
1,,showtrial,jog,forwardbutton,0,real,0,,3,1,V
1,,showtrial,notify,forwardbutton,0,real,0,,6,3,V
1,,showtrial,deny,forwardbutton,0,real,0,,4,2,V
1,,showtrial,system,forwardbutton,0,real,0,,6,2,N
1,,showtrial,without,forwardbutton,0,real,0,,7,2,F
1,,showtrial,convince,forwardbutton,0,real,0,,8,2,V
1,,showtrial,life,forwardbutton,0,real,0,,4,1,N
1,,showtrial,choice,forwardbutton,0,real,0,,6,1,N
1,,showtrial,become,forwardbutton,0,real,0,,6,2,V
1,,showtrial,from,forwardbutton,0,real,0,,4,1,F
1,,showtrial,mansion,forwardbutton,0,real,0,,7,2,N
1,,showtrial,under,forwardbutton,0,real,0,,5,2,F
1,,showtrial,occupy,forwardbutton,0,real,0,,6,3,V
1,,showtrial,child,forwardbutton,0,real,0,,5,1,N
1,,showtrial,obey,forwardbutton,0,real,0,,4,2,V
1,,showtrial,enable,forwardbutton,0,real,0,,6,3,V
1,,showtrial,breathe,forwardbutton,0,real,0,,7,1,V
