Weight,Nested,Procedure,Word,forwardbutton,TrialWasAdministered,TrialType,0,BlockNumber,WordType
1,,showtrial,dape,forwardbutton,0,practice,0,1,practice
1,,showtrial,frode,forwardbutton,0,practice,0,1,practice
1,,showlastpractice,thid,forwardbutton,0,practice,0,1,practice
1,,showtrial,slear,forwardbutton,0,real,0,1,InconsistentPW
1,,showtrial,bink,forwardbutton,0,real,0,1,RegularPW
1,,showtrial,sinse,forwardbutton,0,real,0,1,Pseudohomophone
1,,showtrial,drost,forwardbutton,0,real,0,1,InconsistentPW
1,,showtrial,tuff,forwardbutton,0,real,0,1,Pseudohomophone
1,,showtrial,broal,forwardbutton,0,real,0,1,RegularPW
1,,showtrial,preln,forwardbutton,0,real,0,1,NoAnalogyPW
1,,showtrial,bolg,forwardbutton,0,real,0,1,NoAnalogyPW
1,,showtrial,fron,forwardbutton,0,real,0,1,InconsistentPW
1,,showtrial,wribe,forwardbutton,0,real,0,1,RegularPW
1,,showtrial,bord,forwardbutton,0,real,0,1,Pseudohomophone
1,,showtrial,hish,forwardbutton,0,real,0,1,RegularPW
1,,showtrial,glown,forwardbutton,0,real,0,1,InconsistentPW
1,,showtrial,plear,forwardbutton,0,real,0,1,InconsistentPW
1,,showtrial,trase,forwardbutton,0,real,0,1,Pseudohomophone
1,,showtrial,cout,forwardbutton,0,real,0,1,RegularPW
1,,showtrial,hirn,forwardbutton,0,real,0,1,NoAnalogyPW
1,,showtrial,roze,forwardbutton,0,real,0,1,Pseudohomophone
1,,showtrial,clais,forwardbutton,0,real,0,1,NoAnalogyPW
1,,showtrial,wrofe,forwardbutton,0,real,0,1,NoAnalogyPW
1,,showasbreak,BREAK,forwardbutton,0,break,0,1,N/A
1,,showtrial,slind,forwardbutton,0,real,0,2,InconsistentPW
1,,showtrial,meech,forwardbutton,0,real,0,2,RegularPW
1,,showtrial,zoan,forwardbutton,0,real,0,2,Pseudohomophone
1,,showtrial,vage,forwardbutton,0,real,0,2,RegularPW
1,,showtrial,trow,forwardbutton,0,real,0,2,InconsistentPW
1,,showtrial,froum,forwardbutton,0,real,0,2,NoAnalogyPW
1,,showtrial,stilp,forwardbutton,0,real,0,2,NoAnalogyPW
1,,showtrial,cland,forwardbutton,0,real,0,2,RegularPW
1,,showtrial,nale,forwardbutton,0,real,0,2,Pseudohomophone
1,,showtrial,zask,forwardbutton,0,real,0,2,RegularPW
1,,showtrial,crilp,forwardbutton,0,real,0,2,NoAnalogyPW
1,,showtrial,fone,forwardbutton,0,real,0,2,Pseudohomophone
1,,showtrial,polb,forwardbutton,0,real,0,2,NoAnalogyPW
1,,showtrial,gead,forwardbutton,0,real,0,2,InconsistentPW
1,,showtrial,talch,forwardbutton,0,real,0,2,NoAnalogyPW
1,,showtrial,gaim,forwardbutton,0,real,0,2,Pseudohomophone
1,,showtrial,yoon,forwardbutton,0,real,0,2,RegularPW
1,,showtrial,hoth,forwardbutton,0,real,0,2,InconsistentPW
1,,showtrial,stail,forwardbutton,0,real,0,2,Pseudohomophone
1,,showtrial,vo,forwardbutton,0,real,0,2,InconsistentPW
