ItemNum,Procedure,Item,TrialType,BlockNumber,StartBlock,WordType
1,showtrial,dape,practice,1,1,practice
2,showtrial,frode,practice,1,1,practice
3,showlastpractice,thid,practice,1,1,practice
4,showtrial,grour,real,3,1,InconsistentPW
5,showtrial,nart,real,3,1,RegularPW
6,showtrial,cleen,real,3,1,Pseudohomophone
7,showtrial,drate,real,3,1,RegularPW
8,showtrial,noug,real,3,1,NoAnalogyPW
9,showtrial,prike,real,3,1,RegularPW
10,showtrial,gote,real,3,1,Pseudohomophone
11,showtrial,tuve,real,3,1,NoAnalogyPW
12,showtrial,chead,real,3,1,InconsistentPW
13,showtrial,bace,real,3,1,Pseudohomophone
14,showtrial,crast,real,3,1,RegularPW
15,showtrial,dife,real,3,1,RegularPW
16,showtrial,stoth,real,3,1,InconsistentPW
17,showtrial,trane,real,3,1,Pseudohomophone
18,showtrial,zomk,real,3,1,NoAnalogyPW
19,showtrial,glind,real,3,1,InconsistentPW
20,showtrial,broub,real,3,1,NoAnalogyPW
21,showtrial,maich,real,3,1,NoAnalogyPW
22,showtrial,gron,real,3,1,InconsistentPW
23,showtrial,dreem,real,3,1,Pseudohomophone
24,showasbreak,BREAK,break,3,1,N/A
25,showtrial,bloo,real,4,1,Pseudohomophone
26,showtrial,tarch,real,4,1,RegularPW
27,showtrial,spo,real,4,1,InconsistentPW
28,showtrial,bocks,real,4,1,Pseudohomophone
29,showtrial,dronf,real,4,1,NoAnalogyPW
30,showtrial,tace,real,4,1,RegularPW
31,showtrial,yoog,real,4,1,NoAnalogyPW
32,showtrial,fost,real,4,1,InconsistentPW
33,showtrial,pown,real,4,1,InconsistentPW
34,showtrial,caup,real,4,1,NoAnalogyPW
35,showtrial,frout,real,4,1,RegularPW
36,showtrial,hoap,real,4,1,Pseudohomophone
37,showtrial,stend,real,4,1,RegularPW
38,showtrial,dofe,real,4,1,NoAnalogyPW
39,showtrial,veif,real,4,1,NoAnalogyPW
40,showtrial,clow,real,4,1,InconsistentPW
41,showtrial,rood,real,4,1,Pseudohomophone
42,showtrial,pilt,real,4,1,RegularPW
43,showtrial,vour,real,4,1,InconsistentPW
44,showtrial,kard,real,4,1,Pseudohomophone
