Weight,Nested,Procedure,word,forwardbutton,TrialWasAdministered,TrialType,0,BlockNumber,WordType
1,,showtrial,dape,forwardbutton,0,practice,0,1,practice
1,,showtrial,frode,forwardbutton,0,practice,0,1,practice
1,,showlastpractice,thid,forwardbutton,0,practice,0,1,practice
1,,showtrial,grour,forwardbutton,0,real,0,3,InconsistentPW
1,,showtrial,nart,forwardbutton,0,real,0,3,RegularPW
1,,showtrial,cleen,forwardbutton,0,real,0,3,Pseudohomophone
1,,showtrial,drate,forwardbutton,0,real,0,3,RegularPW
1,,showtrial,noug,forwardbutton,0,real,0,3,NoAnalogyPW
1,,showtrial,prike,forwardbutton,0,real,0,3,RegularPW
1,,showtrial,gote,forwardbutton,0,real,0,3,Pseudohomophone
1,,showtrial,tuve,forwardbutton,0,real,0,3,NoAnalogyPW
1,,showtrial,chead,forwardbutton,0,real,0,3,InconsistentPW
1,,showtrial,bace,forwardbutton,0,real,0,3,Pseudohomophone
1,,showtrial,crast,forwardbutton,0,real,0,3,RegularPW
1,,showtrial,dife,forwardbutton,0,real,0,3,RegularPW
1,,showtrial,stoth,forwardbutton,0,real,0,3,InconsistentPW
1,,showtrial,trane,forwardbutton,0,real,0,3,Pseudohomophone
1,,showtrial,zomk,forwardbutton,0,real,0,3,NoAnalogyPW
1,,showtrial,glind,forwardbutton,0,real,0,3,InconsistentPW
1,,showtrial,broub,forwardbutton,0,real,0,3,NoAnalogyPW
1,,showtrial,maich,forwardbutton,0,real,0,3,NoAnalogyPW
1,,showtrial,gron,forwardbutton,0,real,0,3,InconsistentPW
1,,showtrial,dreem,forwardbutton,0,real,0,3,Pseudohomophone
1,,showasbreak,BREAK,forwardbutton,0,break,0,3,N/A
1,,showtrial,bloo,forwardbutton,0,real,0,4,Pseudohomophone
1,,showtrial,tarch,forwardbutton,0,real,0,4,RegularPW
1,,showtrial,spo,forwardbutton,0,real,0,4,InconsistentPW
1,,showtrial,bocks,forwardbutton,0,real,0,4,Pseudohomophone
1,,showtrial,dronf,forwardbutton,0,real,0,4,NoAnalogyPW
1,,showtrial,tace,forwardbutton,0,real,0,4,RegularPW
1,,showtrial,yoog,forwardbutton,0,real,0,4,NoAnalogyPW
1,,showtrial,fost,forwardbutton,0,real,0,4,InconsistentPW
1,,showtrial,pown,forwardbutton,0,real,0,4,InconsistentPW
1,,showtrial,caup,forwardbutton,0,real,0,4,NoAnalogyPW
1,,showtrial,frout,forwardbutton,0,real,0,4,RegularPW
1,,showtrial,hoap,forwardbutton,0,real,0,4,Pseudohomophone
1,,showtrial,stend,forwardbutton,0,real,0,4,RegularPW
1,,showtrial,dofe,forwardbutton,0,real,0,4,NoAnalogyPW
1,,showtrial,veif,forwardbutton,0,real,0,4,NoAnalogyPW
1,,showtrial,clow,forwardbutton,0,real,0,4,InconsistentPW
1,,showtrial,rood,forwardbutton,0,real,0,4,Pseudohomophone
1,,showtrial,pilt,forwardbutton,0,real,0,4,RegularPW
1,,showtrial,vour,forwardbutton,0,real,0,4,InconsistentPW
1,,showtrial,kard,forwardbutton,0,real,0,4,Pseudohomophone
